[3], iter. T, 0.341313, dist. T, 0.291421, 
[4], iter. T, 0.251506, dist. T, 0.216244, 
[5], iter. T, 0.096415, dist. T, 0.071331, 
[0], iter. T, 0.079826, dist. T, 0.068192, 
[1], iter. T, 0.559370, dist. T, 0.400754, 
[2], iter. T, 0.270623, dist. T, 0.183572, 
[3], iter. T, 0.451329, dist. T, 0.412571, 
[4], iter. T, 0.203846, dist. T, 0.160189, 
[5], iter. T, 0.130596, dist. T, 0.105040, 
[6], iter. T, 0.078650, dist. T, 0.057174, 
[7], iter. T, 0.196406, dist. T, 0.178442, 
[0], iter. T, 0.148766, dist. T, 0.138775, 
[1], iter. T, 0.516685, dist. T, 0.404561, 
[2], iter. T, 0.213938, dist. T, 0.151911, 
[3], iter. T, 0.116762, dist. T, 0.084955, 
[4], iter. T, 0.192082, dist. T, 0.163647, 
[5], iter. T, 0.205578, dist. T, 0.178394, 
[6], iter. T, 0.652374, dist. T, 0.628299, 
[0], iter. T, 0.119409, dist. T, 0.108954, 
[1], iter. T, 0.241051, dist. T, 0.113489, 
[2], iter. T, 0.590594, dist. T, 0.533100, 
[3], iter. T, 0.403981, dist. T, 0.360913, 
[4], iter. T, 0.171612, dist. T, 0.136724, 
[5], iter. T, 0.085234, dist. T, 0.059848, 
[6], iter. T, 0.439406, dist. T, 0.418673, 
[0], iter. T, 0.243566, dist. T, 0.234291, 
[1], iter. T, 0.663699, dist. T, 0.400650, 
[2], iter. T, 0.262515, dist. T, 0.164537, 
[3], iter. T, 0.210632, dist. T, 0.131226, 
[4], iter. T, 0.912408, dist. T, 0.849849, 
[5], iter. T, 0.165525, dist. T, 0.133418, 
[6], iter. T, 0.648356, dist. T, 0.617904, 
[7], iter. T, 0.131809, dist. T, 0.107189, 
[8], iter. T, 0.073896, dist. T, 0.053584, 
[0], iter. T, 0.287007, dist. T, 0.276651, 
[1], iter. T, 0.143996, dist. T, 0.054711, 
[2], iter. T, 0.148390, dist. T, 0.094272, 
[3], iter. T, 0.512253, dist. T, 0.475036, 
[4], iter. T, 0.121159, dist. T, 0.089833, 
[5], iter. T, 0.153136, dist. T, 0.127140, 
[6], iter. T, 0.140301, dist. T, 0.120162, 
[0], iter. T, 0.183365, dist. T, 0.169822, 
[1], iter. T, 0.276645, dist. T, 0.131085, 
[2], iter. T, 0.218303, dist. T, 0.154255, 
[3], iter. T, 0.137711, dist. T, 0.102000, 
[4], iter. T, 0.165821, dist. T, 0.139224, 
[5], iter. T, 0.516100, dist. T, 0.494046, 
[6], iter. T, 0.108852, dist. T, 0.089020, 
[0], iter. T, 0.092829, dist. T, 0.083344, 
[1], iter. T, 0.184372, dist. T, 0.075487, 
[2], iter. T, 0.462251, dist. T, 0.402854, 
[3], iter. T, 0.102623, dist. T, 0.065363, 
[4], iter. T, 0.164481, dist. T, 0.138283, 
[5], iter. T, 0.521075, dist. T, 0.499190, 
[0], iter. T, 0.066698, dist. T, 0.057157, 
[1], iter. T, 0.234305, dist. T, 0.158298, 
[2], iter. T, 0.147917, dist. T, 0.099483, 
[3], iter. T, 0.079889, dist. T, 0.048025, 
[4], iter. T, 0.227844, dist. T, 0.196995, 
[5], iter. T, 0.127105, dist. T, 0.105191, 
[6], iter. T, 0.115132, dist. T, 0.094150, 
[0], iter. T, 0.172051, dist. T, 0.162088, 
[1], iter. T, 0.260167, dist. T, 0.148695, 
[2], iter. T, 0.138182, dist. T, 0.087359, 
[3], iter. T, 0.474072, dist. T, 0.430908, 
[4], iter. T, 0.223255, dist. T, 0.189866, 
[5], iter. T, 0.168368, dist. T, 0.141433, 
[6], iter. T, 0.534479, dist. T, 0.513533, 
[0], iter. T, 0.093357, dist. T, 0.080641, 
[1], iter. T, 0.209308, dist. T, 0.085066, 
[2], iter. T, 0.200079, dist. T, 0.140846, 
[3], iter. T, 0.131522, dist. T, 0.090985, 
[4], iter. T, 0.109132, dist. T, 0.081844, 
[5], iter. T, 0.458463, dist. T, 0.438883, 
[0], iter. T, 0.068950, dist. T, 0.058797, 
[1], iter. T, 0.149554, dist. T, 0.047511, 
[2], iter. T, 0.150060, dist. T, 0.096802, 
[3], iter. T, 0.083701, dist. T, 0.049965, 
[4], iter. T, 0.298399, dist. T, 0.274158, 
[5], iter. T, 0.068714, dist. T, 0.048749, 
[0], iter. T, 0.078699, dist. T, 0.067659, 
[1], iter. T, 0.179360, dist. T, 0.082349, 
[2], iter. T, 0.321638, dist. T, 0.272782, 
[3], iter. T, 0.134927, dist. T, 0.098498, 
[4], iter. T, 0.125557, dist. T, 0.066538, 
[5], iter. T, 0.324161, dist. T, 0.301487, 
