[1], it. T, 0.425697, dist. T, 0.057920
[2], it. T, 0.966513, dist. T, 0.627299
[3], it. T, 0.394076, dist. T, 0.206574
[4], it. T, 0.285714, dist. T, 0.064552
[5], it. T, 0.254151, dist. T, 0.079427
[6], it. T, 0.340700, dist. T, 0.068144
[0], it. T, 0.202153, dist. T, 0.067176
[1], it. T, 0.384990, dist. T, 0.083391
[2], it. T, 0.330993, dist. T, 0.080920
[3], it. T, 1.140960, dist. T, 0.964155
[4], it. T, 0.498854, dist. T, 0.297800
[5], it. T, 1.123257, dist. T, 0.919234
[6], it. T, 0.907052, dist. T, 0.750516
[0], it. T, 0.575978, dist. T, 0.434205
[1], it. T, 0.619523, dist. T, 0.341969
[2], it. T, 0.472789, dist. T, 0.241181
[3], it. T, 0.535222, dist. T, 0.357043
[4], it. T, 0.254074, dist. T, 0.057598
[5], it. T, 0.269470, dist. T, 0.092338
[6], it. T, 0.240694, dist. T, 0.058300
[0], it. T, 0.195733, dist. T, 0.053181
[1], it. T, 0.507352, dist. T, 0.138297
[2], it. T, 0.327798, dist. T, 0.092379
[3], it. T, 0.253461, dist. T, 0.048137
[4], it. T, 0.301321, dist. T, 0.088855
[5], it. T, 0.239997, dist. T, 0.049844
[6], it. T, 0.236810, dist. T, 0.053506
[0], it. T, 0.191300, dist. T, 0.060952
[1], it. T, 0.553731, dist. T, 0.146530
[2], it. T, 0.395089, dist. T, 0.108735
[3], it. T, 0.341894, dist. T, 0.115174
[4], it. T, 0.225824, dist. T, 0.047950
[5], it. T, 0.305770, dist. T, 0.098397
[6], it. T, 0.294398, dist. T, 0.072442
[0], it. T, 0.209556, dist. T, 0.065910
[1], it. T, 0.419941, dist. T, 0.097416
[2], it. T, 0.270720, dist. T, 0.049879
[3], it. T, 0.263448, dist. T, 0.066143
[4], it. T, 0.319997, dist. T, 0.137982
[5], it. T, 0.230579, dist. T, 0.049606
[0], it. T, 0.185626, dist. T, 0.052118
[1], it. T, 0.333068, dist. T, 0.072415
[2], it. T, 0.299650, dist. T, 0.059404
[3], it. T, 0.262677, dist. T, 0.052373
[4], it. T, 0.289795, dist. T, 0.094194
[5], it. T, 0.232506, dist. T, 0.049977
[6], it. T, 0.230449, dist. T, 0.048357
[0], it. T, 0.191740, dist. T, 0.053224
[1], it. T, 0.483865, dist. T, 0.170353
[2], it. T, 0.307522, dist. T, 0.081136
[3], it. T, 0.240431, dist. T, 0.048576
[4], it. T, 0.241228, dist. T, 0.049140
[5], it. T, 0.290994, dist. T, 0.096536
[0], it. T, 0.253968, dist. T, 0.058507
[1], it. T, 0.534787, dist. T, 0.245698
[2], it. T, 0.296660, dist. T, 0.086781
[3], it. T, 0.232525, dist. T, 0.048993
[4], it. T, 0.352027, dist. T, 0.143989
[5], it. T, 0.275049, dist. T, 0.061996
[6], it. T, 0.237343, dist. T, 0.055525
[0], it. T, 0.185958, dist. T, 0.061917
[1], it. T, 0.472906, dist. T, 0.132212
[2], it. T, 0.329980, dist. T, 0.111116
[3], it. T, 0.304004, dist. T, 0.077523
[4], it. T, 0.264492, dist. T, 0.059138
[5], it. T, 0.240960, dist. T, 0.055265
[6], it. T, 0.289220, dist. T, 0.093841
[0], it. T, 0.195670, dist. T, 0.065735
[1], it. T, 0.341423, dist. T, 0.067272
[2], it. T, 0.319834, dist. T, 0.098564
[3], it. T, 0.309953, dist. T, 0.091122
[4], it. T, 0.234501, dist. T, 0.059553
[5], it. T, 0.240853, dist. T, 0.072941
[0], it. T, 0.207047, dist. T, 0.052792
[1], it. T, 0.418873, dist. T, 0.070247
[2], it. T, 0.273257, dist. T, 0.048028
[3], it. T, 0.247530, dist. T, 0.048879
[4], it. T, 0.261378, dist. T, 0.051631
[5], it. T, 0.274732, dist. T, 0.113323
[6], it. T, 0.228392, dist. T, 0.050590
[0], it. T, 0.183358, dist. T, 0.052214
[1], it. T, 0.324161, dist. T, 0.090336
[2], it. T, 0.249881, dist. T, 0.047313
[3], it. T, 0.228249, dist. T, 0.048241
[4], it. T, 0.280266, dist. T, 0.096121
[5], it. T, 0.340321, dist. T, 0.052923
[0], it. T, 0.288191, dist. T, 0.171128
[1], it. T, 0.337588, dist. T, 0.052409
[2], it. T, 0.346768, dist. T, 0.161645
[3], it. T, 0.244132, dist. T, 0.048265
[4], it. T, 0.426924, dist. T, 0.263933
[5], it. T, 0.254903, dist. T, 0.072819
[6], it. T, 0.260580, dist. T, 0.067588
[0], it. T, 0.187401, dist. T, 0.052807
[1], it. T, 0.339248, dist. T, 0.062003
[2], it. T, 0.272409, dist. T, 0.060528
[3], it. T, 0.270620, dist. T, 0.077141
[4], it. T, 0.231730, dist. T, 0.047964
[5], it. T, 0.295891, dist. T, 0.090229
[0], it. T, 0.182706, dist. T, 0.055996
[1], it. T, 0.429036, dist. T, 0.130092
[2], it. T, 0.271607, dist. T, 0.063065
[3], it. T, 0.447987, dist. T, 0.282097
[4], it. T, 0.246198, dist. T, 0.058639
[5], it. T, 0.232422, dist. T, 0.064323
[6], it. T, 0.249338, dist. T, 0.070882
[0], it. T, 0.211118, dist. T, 0.057270
[1], it. T, 0.353018, dist. T, 0.046001
[2], it. T, 0.414535, dist. T, 0.223880
[3], it. T, 0.242642, dist. T, 0.059944
[4], it. T, 0.308641, dist. T, 0.106938
[5], it. T, 0.341725, dist. T, 0.159247
[0], it. T, 0.205906, dist. T, 0.073176
[1], it. T, 0.353085, dist. T, 0.061171
[2], it. T, 0.348426, dist. T, 0.141583
[3], it. T, 0.269850, dist. T, 0.084807
[4], it. T, 0.237468, dist. T, 0.054533
[5], it. T, 0.224703, dist. T, 0.051212
[6], it. T, 0.282822, dist. T, 0.106710
[0], it. T, 0.184249, dist. T, 0.056065
[1], it. T, 0.526279, dist. T, 0.167916
[2], it. T, 0.308276, dist. T, 0.060437
[3], it. T, 0.350654, dist. T, 0.135173
[4], it. T, 0.259335, dist. T, 0.058823
[5], it. T, 0.236105, dist. T, 0.055769
[6], it. T, 0.279010, dist. T, 0.093295
[0], it. T, 0.185014, dist. T, 0.055064
[1], it. T, 0.343162, dist. T, 0.050019
[2], it. T, 0.368957, dist. T, 0.133012
[3], it. T, 0.343421, dist. T, 0.163974
[4], it. T, 0.240470, dist. T, 0.047069
[5], it. T, 0.281835, dist. T, 0.101894
[0], it. T, 0.190533, dist. T, 0.052428
[1], it. T, 0.371335, dist. T, 0.102888
[2], it. T, 0.268235, dist. T, 0.049116
[3], it. T, 0.277789, dist. T, 0.076480
[4], it. T, 0.247791, dist. T, 0.046772
[5], it. T, 0.236336, dist. T, 0.052634
[6], it. T, 0.236891, dist. T, 0.065112
[0], it. T, 0.199361, dist. T, 0.060244
[1], it. T, 0.447352, dist. T, 0.103663
[2], it. T, 0.350154, dist. T, 0.117845
[3], it. T, 0.319572, dist. T, 0.122657
[4], it. T, 0.277750, dist. T, 0.070493
[5], it. T, 0.272467, dist. T, 0.084942
[6], it. T, 0.245381, dist. T, 0.047498
[0], it. T, 0.197698, dist. T, 0.069773
[1], it. T, 0.351563, dist. T, 0.057570
[2], it. T, 0.304561, dist. T, 0.095017
[3], it. T, 0.246010, dist. T, 0.047316
[4], it. T, 0.242570, dist. T, 0.051195
[5], it. T, 0.253438, dist. T, 0.066076
[6], it. T, 0.238129, dist. T, 0.058928
[0], it. T, 0.187657, dist. T, 0.059120
[1], it. T, 0.412581, dist. T, 0.096056
[2], it. T, 0.394795, dist. T, 0.188728
[3], it. T, 0.237949, dist. T, 0.048887
[4], it. T, 0.252509, dist. T, 0.068078
[5], it. T, 0.247849, dist. T, 0.058437
[0], it. T, 0.180085, dist. T, 0.057329
[1], it. T, 0.354339, dist. T, 0.107946
[2], it. T, 0.269436, dist. T, 0.053229
[3], it. T, 0.259693, dist. T, 0.064206
[4], it. T, 0.242033, dist. T, 0.048040
[5], it. T, 0.235633, dist. T, 0.047682
[6], it. T, 0.242845, dist. T, 0.051452
