[4], iter. T, 0.203317, dist. T, 0.175843, 
[5], iter. T, 0.128976, dist. T, 0.105648, 
[6], iter. T, 0.083581, dist. T, 0.064203, 
[0], iter. T, 0.084052, dist. T, 0.073470, 
[1], iter. T, 0.154563, dist. T, 0.090876, 
[2], iter. T, 0.093993, dist. T, 0.054351, 
[3], iter. T, 0.072180, dist. T, 0.042926, 
[4], iter. T, 0.116261, dist. T, 0.092096, 
[5], iter. T, 0.067570, dist. T, 0.048567, 
[0], iter. T, 0.063659, dist. T, 0.055266, 
[1], iter. T, 0.433182, dist. T, 0.135262, 
[2], iter. T, 0.190513, dist. T, 0.102503, 
[3], iter. T, 0.196360, dist. T, 0.150611, 
[4], iter. T, 0.309254, dist. T, 0.277264, 
[5], iter. T, 0.121782, dist. T, 0.087084, 
[6], iter. T, 0.247660, dist. T, 0.218468, 
[7], iter. T, 0.198061, dist. T, 0.176207, 
[8], iter. T, 0.179630, dist. T, 0.161004, 
[0], iter. T, 0.087036, dist. T, 0.074272, 
[1], iter. T, 0.326057, dist. T, 0.142942, 
[2], iter. T, 0.105775, dist. T, 0.043499, 
[3], iter. T, 0.366304, dist. T, 0.328112, 
[4], iter. T, 0.145938, dist. T, 0.117042, 
[5], iter. T, 0.310893, dist. T, 0.284825, 
[6], iter. T, 0.081381, dist. T, 0.063164, 
[0], iter. T, 0.067234, dist. T, 0.058256, 
[1], iter. T, 0.305109, dist. T, 0.143224, 
[2], iter. T, 0.126336, dist. T, 0.057824, 
[3], iter. T, 0.389381, dist. T, 0.345071, 
[4], iter. T, 0.069057, dist. T, 0.043790, 
[5], iter. T, 0.087873, dist. T, 0.060911, 
[6], iter. T, 0.349789, dist. T, 0.322811, 
[0], iter. T, 0.067564, dist. T, 0.059009, 
[1], iter. T, 0.261972, dist. T, 0.148753, 
[2], iter. T, 0.267772, dist. T, 0.207158, 
[3], iter. T, 0.119581, dist. T, 0.084328, 
[4], iter. T, 0.174021, dist. T, 0.146033, 
[5], iter. T, 0.180690, dist. T, 0.158657, 
[6], iter. T, 0.297687, dist. T, 0.277692, 
[0], iter. T, 0.054869, dist. T, 0.045967, 
[1], iter. T, 0.288201, dist. T, 0.136311, 
[2], iter. T, 0.186196, dist. T, 0.127032, 
[3], iter. T, 0.477305, dist. T, 0.440987, 
[4], iter. T, 0.113822, dist. T, 0.088562, 
[5], iter. T, 0.097093, dist. T, 0.076262, 
[6], iter. T, 0.170935, dist. T, 0.153353, 
[0], iter. T, 0.096779, dist. T, 0.088285, 
[1], iter. T, 0.206170, dist. T, 0.067061, 
[2], iter. T, 0.168687, dist. T, 0.109445, 
[3], iter. T, 0.186318, dist. T, 0.149343, 
[4], iter. T, 0.216366, dist. T, 0.190549, 
[5], iter. T, 0.077521, dist. T, 0.056218, 
[6], iter. T, 0.075360, dist. T, 0.057538, 
[0], iter. T, 0.056377, dist. T, 0.047706, 
[1], iter. T, 0.174984, dist. T, 0.093357, 
[2], iter. T, 0.184069, dist. T, 0.142039, 
[3], iter. T, 0.176887, dist. T, 0.144687, 
[4], iter. T, 0.069208, dist. T, 0.043780, 
[5], iter. T, 0.102630, dist. T, 0.081713, 
[6], iter. T, 0.058959, dist. T, 0.044157, 
[0], iter. T, 0.157409, dist. T, 0.148853, 
[1], iter. T, 0.204881, dist. T, 0.104246, 
[2], iter. T, 0.135118, dist. T, 0.085365, 
[3], iter. T, 0.175637, dist. T, 0.139767, 
[4], iter. T, 0.115730, dist. T, 0.089956, 
[5], iter. T, 0.075463, dist. T, 0.054493, 
[6], iter. T, 0.252320, dist. T, 0.233686, 
[0], iter. T, 0.053656, dist. T, 0.045263, 
[1], iter. T, 0.162863, dist. T, 0.064498, 
[2], iter. T, 0.182622, dist. T, 0.133237, 
[3], iter. T, 0.358624, dist. T, 0.321868, 
[4], iter. T, 0.070303, dist. T, 0.045351, 
[5], iter. T, 0.088279, dist. T, 0.068115, 
[6], iter. T, 0.089582, dist. T, 0.072855, 
[0], iter. T, 0.076640, dist. T, 0.068163, 
[1], iter. T, 0.262950, dist. T, 0.100753, 
[2], iter. T, 0.148210, dist. T, 0.086519, 
[3], iter. T, 0.159592, dist. T, 0.121612, 
[4], iter. T, 0.088268, dist. T, 0.057714, 
[5], iter. T, 0.150979, dist. T, 0.125391, 
